scenario,year,ensemble_mean,sd,n_models
ssp126,2051,15.591770833333333,0.6611684366429655,32
ssp126,2052,15.586880208333334,0.6675024129530643,32
ssp126,2053,15.583528645833333,0.675883176572236,32
ssp126,2054,15.574125,0.6864828934451546,32
ssp126,2055,15.599703125,0.6997519260684562,32
ssp126,2056,15.6338828125,0.691942548574948,32
ssp126,2057,15.64040625,0.6899701780962613,32
ssp126,2058,15.651661458333333,0.6881874662991774,32
ssp126,2059,15.659734375,0.7020057408824052,32
ssp126,2060,15.6630703125,0.714209515567985,32
ssp126,2061,15.6500390625,0.6709746064375605,32
ssp126,2062,15.6432734375,0.66464283508008,32
ssp126,2063,15.659393229166668,0.6921246991108925,32
ssp126,2064,15.665661458333332,0.6866093872711354,32
ssp126,2065,15.634130208333334,0.6874291220999196,32
ssp126,2066,15.676692708333333,0.6897421250878792,32
ssp126,2067,15.704,0.7062679943468413,32
ssp126,2068,15.708875,0.6796634860731267,32
ssp126,2069,15.701903645833333,0.7105867382619843,32
ssp126,2070,15.698765625,0.6779369725324607,32
ssp126,2071,15.691976562499999,0.7026102393236934,32
ssp126,2072,15.686205729166666,0.6984489081050548,32
ssp126,2073,15.709216145833333,0.716006817968835,32
ssp126,2074,15.7103046875,0.7420860622861244,32
ssp126,2075,15.659955729166667,0.7120213137592721,32
ssp126,2076,15.7049765625,0.675563861871706,32
ssp126,2077,15.724502604166666,0.7078680535386508,32
ssp126,2078,15.711638020833334,0.7105651808026304,32
ssp126,2079,15.724677083333333,0.6982232535554479,32
ssp126,2080,15.714557291666667,0.6989546394506819,32
ssp126,2081,15.732744791666667,0.6824958646458869,32
ssp126,2082,15.723760416666666,0.7052789039275658,32
ssp126,2083,15.702169270833334,0.7152957319095239,32
ssp126,2084,15.705390625,0.734790106827841,32
ssp126,2085,15.710372395833334,0.7400429877033591,32
ssp126,2086,15.724046875,0.7409767822394144,32
ssp126,2087,15.684026041666666,0.742202291618308,32
ssp126,2088,15.659682291666666,0.7316534113593121,32
ssp126,2089,15.660091145833333,0.707083455262399,32
ssp126,2090,15.6732734375,0.7012161469778246,32
ssp126,2091,15.6889375,0.7204651060849661,32
ssp126,2092,15.678671875,0.7535825534382746,32
ssp126,2093,15.66990625,0.727934510324716,32
