scenario,year,co2_ppm,ch4_ppb,n2o_ppb,co2_PgC,ch4_co2e_ppm,n2o_co2e_ppm,ch4_PgC_equiv,n2o_PgC_equiv,total_PgC_equiv
ssp245,2029,441.33287556966144,1995.2666320800781,339.2761917114258,937.3910277099609,59.458945635986325,92.62240033721923,126.29080053083496,196.72997831625366,1260.4118065570494
ssp245,2030,444.4008382161458,2003.1326802571614,340.09767659505206,943.9073803710937,59.693353871663405,92.84666571044922,126.78868362341308,197.20631796899414,1267.902381963501
ssp245,2031,447.4913965861003,2010.77197265625,340.9239908854167,950.471726348877,59.92100478515625,93.07224951171875,127.27221416367188,197.68545796289064,1275.4293984754397
ssp245,2032,450.59267171223956,2017.7816467285156,341.75196584065753,957.0588347167969,60.12989307250976,93.29828667449951,127.71589288601074,198.16556089663698,1282.9402884994447
ssp245,2033,453.69482676188153,2023.8648986816406,342.5788981119792,963.6478120422364,60.311173980712894,93.52403918457031,128.1009335350342,198.64505922802735,1290.393804805298
ssp245,2034,456.8012288411458,2029.0849304199219,343.40472920735675,970.2458100585937,60.46673092651367,93.7494910736084,128.43133648791505,199.12391904034425,1297.801065586853
ssp245,2035,459.9126917521159,2033.5006815592449,344.22865804036456,976.8545572814942,60.598320310465496,93.97442364501953,128.71083233942872,199.6016758220215,1305.1670654429442
ssp245,2036,463.31776310847357,2037.677969125601,345.0953157865084,984.0869288423979,60.72280347994291,94.2110212097168,128.97523459139876,200.1042090494385,1313.1663724832351
ssp245,2037,466.42117563883465,2040.3846028645833,345.9439188639323,990.6785770568848,60.80346116536458,94.44268984985352,129.14655151523436,200.59627324108888,1320.4214018132081
ssp245,2038,469.5587692260742,2042.6813252766926,346.7649205525716,997.3428258361816,60.87190349324544,94.66682331085204,129.29192301965332,201.07233271224973,1327.7070815680847
ssp245,2039,472.7064615885417,2044.3718363444011,347.58561452229816,1004.0285244140626,60.92228072306316,94.89087276458739,129.39892425578617,201.5482137519836,1334.9756624218326
ssp245,2040,475.86549377441406,2045.5179951985676,348.4045918782552,1010.7383087768555,60.95643625691732,95.11445358276366,129.4714706096924,202.02309940979003,1342.2328787963381
ssp245,2041,479.03456115722656,2046.140116373698,349.22318776448566,1017.4694078979493,60.974975467936204,95.33793025970458,129.5108478938965,202.49776387161253,1349.4780196634583
ssp245,2042,482.2038828531901,2046.0313924153645,350.0359649658203,1024.201047180176,60.97173549397786,95.55981843566894,129.503966189209,202.96905435736085,1356.6740677267458
ssp245,2043,485.36669667561847,2045.0615336100261,350.8420054117839,1030.9188637390137,60.94283370157878,95.779867477417,129.44257878215333,203.4364385220337,1363.7978810432007
ssp245,2044,488.52391815185547,2043.3170878092449,351.64170837402344,1037.6248021545412,60.890849216715495,95.9981863861084,129.33216373630373,203.90014788409425,1370.857113774939
ssp245,2045,491.677241007487,2040.848164876302,352.4336395263672,1044.3224598999025,60.8172753133138,96.21438359069825,129.17589276547852,204.3593507466431,1377.857703412024
ssp245,2046,494.82660420735675,2037.6989644368489,353.21940358479816,1051.0117073364258,60.723429140218094,96.42889717864989,128.97656349382325,204.8149776074524,1384.8032484377015
