year,ssp126_co2_ppm,ssp126_co2_PgC,ssp126_ch4_ppb,ssp126_ch4_PgC_equiv,ssp126_n2o_ppb,ssp126_n2o_PgC_equiv,ssp126_total_PgC_equiv,ssp245_co2_ppm,ssp245_co2_PgC,ssp245_ch4_ppb,ssp245_ch4_PgC_equiv,ssp245_n2o_ppb,ssp245_n2o_PgC_equiv,ssp245_total_PgC_equiv,ssp370_co2_ppm,ssp370_co2_PgC,ssp370_ch4_ppb,ssp370_ch4_PgC_equiv,ssp370_n2o_ppb,ssp370_n2o_PgC_equiv,ssp370_total_PgC_equiv,ssp585_co2_ppm,ssp585_co2_PgC,ssp585_ch4_ppb,ssp585_ch4_PgC_equiv,ssp585_n2o_ppb,ssp585_n2o_PgC_equiv,ssp585_total_PgC_equiv
62,465.3744965,988.4554305,1174.954458,74.36897738,349.8643977,202.8695707,1265.693979,588.6369019,1250.26478,1762.994812,111.5891092,374.0444794,216.8904395,1578.744328,730.8336589,1552.290691,3069.071045,194.2574656,399.4120585,231.599881,1978.148038,892.9213257,1896.564896,2637.331889,166.9304494,381.8702952,221.4282544,2284.9236
63,464.395106,986.3752051,1165.493805,73.77016348,350.068339,202.9878265,1263.133195,590.1282196,1253.432338,1756.320211,111.166639,374.3331985,217.0578538,1581.656831,737.7970174,1567.080865,3087.530131,195.4258371,400.6387126,232.3111588,1994.817861,906.1995392,1924.767821,2629.013224,166.4039178,382.5088145,221.7985011,2312.97024
64,463.3872706,984.2345628,1156.508921,73.20146348,350.2772039,203.1089372,1260.544963,591.5220744,1256.392886,1749.995463,110.7663128,374.6091003,217.2178361,1584.377035,744.8378448,1582.035582,3105.763631,196.5799302,401.868309,233.0241427,2011.639655,919.528595,1953.078736,2619.671448,165.8126282,383.1383235,222.1635231,2341.054887
65,462.3515218,982.0346323,1147.972687,72.6611608,350.4922155,203.2336121,1257.929405,592.8188019,1259.147135,1743.99942,110.3867921,374.8718058,217.3701664,1586.904094,751.9582876,1597.159403,3123.777344,197.7201117,403.1031138,233.7401467,2028.619661,932.9063873,1981.493167,2609.387899,165.1617289,383.7587179,222.5232601,2369.178156
66,461.2853216,979.770023,1139.84905,72.14697358,350.7119293,203.3610136,1255.27801,594.0186717,1261.695659,1738.309896,110.0266725,375.1205393,217.514395,1589.236726,759.1583405,1612.452315,3141.58252,198.8470939,404.3405101,234.4576534,2045.757062,946.3364461,2010.018612,2598.239095,164.4560632,384.369194,222.8772459,2397.351921
67,460.1895116,977.4425227,1132.111949,71.65725221,350.9369176,203.4914736,1252.591248,595.1227417,1264.040703,1732.91684,109.6853179,375.3563436,217.6511265,1591.377148,766.4364675,1627.911057,3159.179484,199.9608973,405.5823466,235.1777348,2063.049689,959.8202616,2038.658236,2586.303182,163.7005772,384.971789,223.2266618,2425.585475
68,459.0644328,975.0528552,1124.728699,71.18992793,351.1678492,203.6253797,1249.868163,596.1318817,1266.184117,1727.779592,109.3601548,375.5780029,217.7796562,1593.323928,773.7947032,1643.53995,3176.600932,201.0635913,406.8278249,235.8999279,2080.503469,973.3584544,2067.413357,2573.658386,162.9002223,385.5641403,223.5701379,2453.883717
69,457.9083888,972.5974178,1117.672038,70.74327516,351.4036128,203.7620877,1247.102781,597.0460052,1268.125715,1722.913513,109.0521554,375.7869237,217.9007993,1595.07867,781.2307892,1659.334196,3193.840434,202.154769,408.0764211,236.6239289,2098.112894,986.9525808,2096.287282,2560.352865,162.0580466,386.1488241,223.9091679,2482.254496
70,456.7231929,970.0800616,1110.92099,70.31596625,351.6446203,203.9018363,1244.297864,597.8650513,1269.865369,1718.267873,108.7581087,375.9827754,218.0143643,1596.637842,788.7482249,1675.30123,3210.91394,203.23544,409.3291168,237.350307,2115.886977,1000.602331,2125.27935,2546.45459,161.1783526,386.7231064,224.2421667,2510.699869
71,455.508962,967.5010353,1104.446381,69.90615455,351.8912303,204.0448337,1241.452023,598.5932515,1271.412066,1713.84729,108.478307,376.1668065,218.1210751,1598.011448,796.3433126,1691.433196,3227.827169,204.3059662,410.5857951,238.0789945,2133.818157,1014.308757,2154.391799,2532.043701,160.2662125,387.2898916,224.5708182,2539.22883
72,454.3018545,964.9371389,1098.23878,69.51324321,352.1365967,204.1871099,1238.637492,599.2575582,1272.823054,1709.653534,108.2128624,376.3374914,218.220047,1599.255963,804.0240529,1707.747088,3244.596029,205.3673546,411.846283,238.8098909,2151.924334,1028.02774,2183.530921,2517.645915,159.3549017,387.8457972,224.8931612,2567.778984
73,453.1235097,962.4343347,1092.254293,69.13445391,352.3779526,204.3270606,1235.895849,599.8760529,1274.136736,1705.668386,107.9606216,376.4955699,218.3117092,1600.409067,811.7912547,1724.244625,3261.258443,206.4220054,413.1087672,239.5419449,2170.208575,1041.735708,2212.646643,2503.619161,158.4670755,388.3898849,225.2086516,2596.32237
74,451.9680812,959.9802044,1086.491689,68.76970876,352.6151937,204.4646253,1233.214538,600.4469198,1275.349258,1701.891642,107.7215719,376.6427078,218.3970274,1601.467857,819.6447296,1740.925406,3277.796407,207.4687791,414.3765818,240.2770897,2188.671275,1055.43512,2241.744194,2489.896098,157.5984715,388.9218063,225.5170872,2624.859753
