"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16"
2054,328.188650894,328.188650894,325.444462319,325.444462319,328.188650894,328.188650894,325.444462319,325.444462319,328.371659512,328.371659512,325.983392595,325.983392595,328.154199758,328.154199758,325.351340528,325.351340528
2055,335.602005277,335.602005277,332.728623375,332.728623375,335.602005277,335.602005277,332.728623375,332.728623375,335.78825854,335.78825854,333.277754944,333.277754944,335.550083995,335.550083995,332.585349518,332.585349518
2056,343.244984246,343.244984246,340.237480719,340.237480719,343.244984246,343.244984246,340.237480719,340.237480719,343.434139149,343.434139149,340.795868606,340.795868606,343.173879357,343.173879357,340.039102519,340.039102519
2057,350.985392725,350.985392725,347.8398576,347.8398576,350.985392725,350.985392725,347.8398576,347.8398576,351.177008961,351.177008961,348.406272646,348.406272646,350.893319068,350.893319068,347.581209147,347.581209147
2058,358.822640667,358.822640667,355.535102816,355.535102816,358.822640667,358.822640667,355.535102816,355.535102816,359.016254802,359.016254802,356.108249881,356.108249881,358.707736222,358.707736222,355.210791517,355.210791517
2059,366.756164196,366.756164196,363.322585878,363.322585878,366.756164196,366.756164196,363.322585878,363.322585878,366.95129178,366.95129178,363.901109994,363.901109994,366.616496337,366.616496337,362.927010141,362.927010141
2060,374.785425632,374.785425632,371.201697962,371.201697962,374.785425632,374.785425632,371.201697962,371.201697962,374.981563226,374.981563226,371.784190243,371.784190243,374.618998099,374.618998099,370.729067075,370.729067075
2061,383.076280431,383.076280431,379.336577038,379.336577038,383.076280431,383.076280431,379.336577038,379.336577038,383.272989443,383.272989443,379.921824446,379.921824446,382.880945766,382.880945766,378.78066163,378.78066163
2062,391.469282863,391.469282863,387.569191792,387.569191792,391.469282863,391.469282863,387.569191792,387.569191792,391.666011032,391.666011032,388.155647356,388.155647356,391.242883586,391.242883586,386.923724128,386.923724128
2063,399.963696653,399.963696653,395.898758831,395.898758831,399.963696653,399.963696653,395.898758831,395.898758831,400.159864893,400.159864893,396.484798697,396.484798697,399.704019447,399.704019447,395.157303805,395.157303805
2064,408.558815841,408.558815841,404.324516658,404.324516658,408.558815841,408.558815841,404.324516658,404.324516658,408.753822182,408.753822182,404.90845158,404.90845158,408.263600616,408.263600616,403.480498074,403.480498074
2065,417.253965025,417.253965025,412.845727397,412.845727397,417.253965025,417.253965025,412.845727397,412.845727397,417.447188192,417.447188192,413.42581317,413.42581317,416.920913336,416.920913336,411.892452424,411.892452424
2066,426.245231485,426.245231485,421.656273158,421.656273158,426.245231485,426.245231485,421.656273158,421.656273158,426.436116382,426.436116382,422.230968509,422.230968509,425.871827799,425.871827799,420.58642001,420.58642001
2067,435.343920043,435.343920043,430.569351558,430.569351558,435.343920043,435.343920043,430.569351558,430.569351558,435.531786951,435.531786951,431.136746251,431.136746251,434.927730282,434.927730282,429.375823286,429.375823286
2068,444.549141356,444.549141356,439.584047073,439.584047073,444.549141356,444.549141356,439.584047073,439.584047073,444.733279964,444.733279964,440.142142712,440.142142712,444.087694271,444.087694271,438.259633115,438.259633115
2069,453.860040192,453.860040192,448.699465535,448.699465535,453.860040192,453.860040192,448.699465535,448.699465535,454.039715881,454.039715881,449.2461939,449.2461939,453.350836969,453.350836969,447.236869776,447.236869776
2070,463.275796021,463.275796021,457.914737052,457.914737052,463.275796021,463.275796021,457.914737052,457.914737052,463.450255424,463.450255424,458.44797633,458.44797633,462.716318781,462.716318781,456.3066027,456.3066027
2071,473.024759713,473.024759713,467.455437937,467.455437937,473.024759713,473.024759713,467.455437937,467.455437937,473.193308464,473.193308464,467.973252506,467.973252506,472.412163322,472.412163322,465.693460813,465.693460813
2072,482.887037006,482.887037006,477.104133936,477.104133936,482.887037006,482.887037006,477.104133936,477.104133936,483.048852647,483.048852647,477.60420475,477.60420475,482.218674757,482.218674757,475.180572514,475.180572514
2073,492.861578878,492.861578878,486.859778107,486.859778107,492.861578878,492.861578878,486.859778107,486.859778107,493.01580436,493.01580436,487.339685801,487.339685801,492.134776788,492.134776788,484.766805943,484.766805943
2074,502.94737385,502.94737385,496.721342525,496.721342525,502.94737385,502.94737385,496.721342525,496.721342525,503.093126866,503.093126866,497.178594688,497.178594688,502.159441474,502.159441474,494.451079982,494.451079982
2075,513.143449076,513.143449076,506.687822837,506.687822837,513.143449076,513.143449076,506.687822837,506.687822837,513.279830189,513.279830189,507.119877748,507.119877748,512.29168885,512.29168885,504.232364511,504.232364511
2076,523.71241244,523.71241244,517.018396946,517.018396946,523.71241244,523.71241244,517.018396946,517.018396946,523.838563115,523.838563115,517.422851598,517.422851598,522.793640978,522.793640978,514.368430578,514.368430578
2077,534.401246169,534.401246169,527.463170228,527.463170228,534.401246169,534.401246169,527.463170228,527.463170228,534.516186089,534.516186089,527.837250783,527.837250783,533.412626332,533.412626332,524.610374081,524.610374081
2078,545.208735719,545.208735719,538.02096725,538.02096725,545.208735719,545.208735719,538.02096725,538.02096725,545.311445681,545.311445681,538.36178629,538.36178629,544.147405718,544.147405718,534.956942275,534.956942275
2079,556.133707051,556.133707051,548.690627075,548.690627075,556.133707051,556.133707051,548.690627075,548.690627075,556.223142249,556.223142249,548.99522245,548.99522245,554.9967939,554.9967939,545.406936404,545.406936404
2080,567.175028382,567.175028382,559.471009965,559.471009965,567.175028382,567.175028382,559.471009965,559.471009965,567.250129836,567.250129836,559.736378227,559.736378227,565.959659376,565.959659376,555.959212652,555.959212652
2081,578.631553539,578.631553539,570.656796056,570.656796056,578.631553539,578.631553539,570.656796056,570.656796056,578.691271778,578.691271778,570.879987351,570.879987351,577.334162934,577.334162934,566.906442321,566.906442321
2082,590.21519307,590.21519307,581.963785021,581.963785021,590.21519307,590.21519307,581.963785021,581.963785021,590.258375312,590.258375312,582.141525111,582.141525111,588.832746371,588.832746371,577.965952121,577.965952121
2083,601.924562367,601.924562367,593.390679138,593.390679138,601.924562367,601.924562367,593.390679138,593.390679138,601.95001231,601.95001231,593.519565642,593.519565642,600.453998687,600.453998687,589.136361682,589.136361682
2084,613.758319625,613.758319625,604.936187903,604.936187903,613.758319625,613.758319625,604.936187903,604.936187903,613.764815798,613.764815798,605.01274403,605.01274403,612.196569426,612.196569426,600.416349971,600.416349971
2085,625.715168471,625.715168471,616.599037527,616.599037527,625.715168471,625.715168471,616.599037527,616.599037527,625.701479876,625.701479876,616.619757907,616.619757907,624.059168629,624.059168629,611.80465695,611.80465695
2086,638.132194421,638.132194421,628.711308429,628.711308429,638.132194421,638.132194421,628.711308429,628.711308429,638.09705253,638.09705253,628.672611676,628.672611676,636.377933337,636.377933337,623.630610482,623.630610482
2087,650.684225525,650.684225525,640.952592728,640.952592728,650.684225525,650.684225525,640.952592728,640.952592728,650.626291614,650.626291614,640.850660456,640.850660456,648.828450714,648.828450714,635.575991633,635.575991633
2088,663.369704881,663.369704881,653.321481296,653.321481296,663.369704881,663.369704881,653.321481296,653.321481296,663.287591684,663.287591684,653.152350896,653.152350896,661.40913384,661.40913384,647.639297536,647.639297536
2089,676.187119772,676.187119772,665.816561449,665.816561449,676.187119772,676.187119772,665.816561449,665.816561449,676.079416276,676.079416276,665.576198809,665.576198809,674.118463799,674.118463799,659.819091762,659.819091762
2090,689.135005418,689.135005418,678.436430029,678.436430029,689.135005418,689.135005418,678.436430029,678.436430029,689.000297852,689.000297852,678.120791099,678.120791099,686.954989749,686.954989749,672.114006632,672.114006632
2091,702.590637975,702.590637975,691.552443646,691.552443646,702.590637975,702.590637975,691.552443646,691.552443646,702.427410152,702.427410152,691.15722773,691.15722773,700.294736059,700.294736059,684.891761253,684.891761253
2092,716.189626858,716.189626858,704.805964976,704.805964976,716.189626858,716.189626858,704.805964976,704.805964976,715.996342752,715.996342752,704.326770172,704.326770172,713.774346897,713.774346897,697.796709324,697.796709324
2093,729.93024525,729.93024525,718.195491697,718.195491697,729.93024525,729.93024525,718.195491697,718.195491697,729.705314825,729.705314825,717.627754074,717.627754074,727.392061609,727.392061609,710.827242856,710.827242856
2094,743.810810588,743.810810588,731.719502698,731.719502698,743.810810588,743.810810588,731.719502698,731.719502698,743.552622749,743.552622749,731.058593039,731.058593039,741.146195633,741.146195633,723.981828694,723.981828694
2095,757.829689759,757.829689759,745.376475716,745.376475716,757.829689759,757.829689759,745.376475716,745.376475716,757.536640065,757.536640065,744.617780935,744.617780935,755.035140671,755.035140671,737.25901147,737.25901147
2096,772.406206713,772.406206713,759.578828272,759.578828272,772.406206713,772.406206713,759.578828272,759.578828272,772.07650374,772.07650374,758.717241413,758.717241413,769.47661826,769.47661826,751.066546319,751.066546319
2097,787.134368514,787.134368514,773.927429238,773.927429238,787.134368514,787.134368514,773.927429238,773.927429238,786.766271439,786.766271439,772.957934604,772.957934604,784.065998599,784.065998599,765.009250362,765.009250362
2098,802.012290641,802.012290641,788.420714167,788.420714167,802.012290641,802.012290641,788.420714167,788.420714167,801.603998684,801.603998684,787.338114287,787.338114287,798.8013603,798.8013603,779.085443643,779.085443643
2099,817.038130966,817.038130966,803.057078789,803.057078789,817.038130966,817.038130966,803.057078789,803.057078789,816.587826584,816.587826584,801.856121429,801.856121429,813.680866456,813.680866456,793.293530295,793.293530295
2100,832.210096747,832.210096747,817.834902404,817.834902404,832.210096747,832.210096747,817.834902404,817.834902404,831.715981773,831.715981773,816.510386873,816.510386873,828.702764868,828.702764868,807.632002099,807.632002099
2101,847.994054308,847.994054308,833.212114448,833.212114448,847.994054308,847.994054308,833.212114448,833.212114448,847.454041912,847.454041912,831.758060047,831.758060047,844.330922619,844.330922619,822.552965928,822.552965928
2102,863.942535479,863.942535479,848.749534139,848.749534139,863.942535479,863.942535479,848.749534139,848.749534139,863.35471323,863.35471323,847.160398769,847.160398769,860.119670824,860.119670824,837.622469998,837.622469998
